feature_1,feature_2,feature_3,feature_4,feature_5,label
52,93,15,72,61,4
21,83,87,75,75,4
88,100,24,3,22,0
53,2,88,30,38,3
2,64,60,21,33,1
76,58,22,89,49,3
91,59,42,92,60,3
80,15,62,62,47,3
62,51,55,64,3,0
51,7,21,73,39,0
18,4,89,60,14,1
9,90,53,2,84,3
92,60,71,44,8,0
47,35,78,81,36,1
50,4,2,6,54,1
4,54,93,63,18,3
90,44,34,74,62,2
100,14,95,48,15,3
72,78,87,62,40,2
85,80,82,53,24,1
26,89,60,41,29,0
15,45,65,89,71,4
9,88,1,8,88,1
63,11,81,8,35,0
35,33,5,41,28,1
7,73,72,12,34,3
33,48,23,62,88,2
37,99,44,86,91,1
35,65,99,47,78,0
3,1,5,90,14,3
27,9,79,15,90,4
42,77,51,63,96,3
52,96,4,94,23,2
15,43,29,36,13,3
32,71,59,86,28,4
66,42,45,62,57,0
6,28,28,44,84,1
30,62,75,92,89,2
62,97,1,27,62,4
77,3,70,72,27,2
9,62,37,97,51,3
44,24,79,59,32,2
96,88,52,62,58,4
52,12,39,2,3,1
56,81,59,2,2,1
92,54,87,96,97,2
1,19,2,53,44,0
90,32,70,32,68,2
55,75,56,17,38,3
24,69,98,70,86,1
11,16,97,73,59,1
70,80,93,3,20,1
59,36,19,90,67,0
19,20,96,71,52,0
33,40,39,82,1,4
11,92,57,89,50,2
23,31,94,42,99,2
7,16,90,60,2,3
1,48,12,69,37,1
32,9,99,19,48,0
80,3,20,24,54,3
33,24,75,72,36,3
38,84,99,89,99,0
25,93,18,82,66,2
54,35,80,61,41,1
100,33,68,33,14,2
21,48,20,8,7,3
67,17,33,48,76,1
59,86,22,30,38,4
51,54,8,27,27,3
98,21,30,97,28,2
64,97,69,61,48,2
19,4,35,64,49,2
17,44,92,30,93,0
46,6,99,37,24,3
93,46,53,95,99,1
60,97,63,85,32,2
87,33,67,18,25,2
95,54,58,67,46,0
24,32,47,86,23,1
66,27,2,90,17,3
33,9,43,48,39,4
93,42,26,99,50,0
25,24,13,60,7,3
57,36,45,20,65,4
8,16,14,76,87,2
15,92,98,66,32,2
87,63,86,51,25,1
58,63,62,22,58,4
58,86,49,52,42,2
70,15,54,60,97,2
8,53,60,5,68,1
6,96,94,47,99,3
55,40,52,16,13,2
30,19,17,63,19,0
92,58,55,90,90,0
62,23,9,12,1,3
58,1,34,96,48,4
89,1,16,61,64,1
63,69,22,93,67,0
76,26,16,51,86,0
57,29,78,92,69,3
47,94,62,69,76,4
16,90,90,48,85,4
39,100,33,94,23,3
10,69,100,34,52,0
95,10,19,58,96,1
1,69,4,16,24,0
80,2,92,32,91,4
84,24,12,50,35,0
33,33,61,51,43,1
12,67,65,33,40,2
74,43,44,29,13,0
12,95,46,2,35,3
87,81,90,8,93,2
26,74,90,34,7,3
68,58,75,29,36,3
89,21,36,10,73,3
24,64,99,49,99,0
36,82,96,24,23,4
62,96,37,12,55,2
13,23,89,99,30,1
17,62,84,89,86,4
13,59,19,49,100,0
12,61,19,76,9,3
71,28,78,95,52,1
83,16,69,99,12,2
25,52,85,100,53,4
23,16,57,39,53,4
42,58,39,14,95,1
5,35,87,93,75,0
18,76,9,74,58,2
17,7,46,13,40,1
42,9,50,27,66,3
5,29,37,38,83,2
8,65,86,17,71,4
89,45,4,36,70,1
31,19,61,54,39,4
91,74,90,19,39,4
67,45,13,92,58,4
20,92,72,61,39,0
1,3,77,92,62,4
63,25,56,33,38,3
6,58,44,45,32,3
45,61,47,21,80,2
85,75,36,99,19,4
20,57,18,47,49,4
14,15,31,1,54,1
3,16,87,57,75,0
12,74,96,16,72,2
76,24,28,8,92,4
36,90,8,58,60,1
50,28,92,41,100,0
64,27,63,17,73,2
33,84,77,92,29,2
13,46,35,6,82,4
69,47,25,66,10,2
56,30,5,33,65,1
18,96,49,11,85,2
26,63,89,86,59,3
27,49,77,33,98,1
99,1,21,55,6,0
92,81,69,95,5,0
3,53,23,53,37,4
74,74,83,17,85,4
78,73,1,51,45,3
77,4,62,65,32,0
34,92,95,72,39,0
26,34,54,3,50,0
12,65,54,5,94,0
94,57,17,47,23,2
79,85,14,66,75,1
51,38,64,98,38,1
50,98,82,30,79,3
91,51,63,98,52,2
38,97,88,79,30,0
51,81,5,29,4,0
10,56,17,74,17,4
84,88,69,34,6,4
53,66,77,43,75,3
23,55,80,95,75,0
16,8,4,4,56,3
25,67,96,67,27,2
93,32,50,61,51,1
19,21,5,82,92,0
42,61,22,21,70,2
1,5,12,90,46,0
34,49,78,90,45,4
27,73,26,47,86,3
56,94,63,48,61,4
81,26,36,1,8,1
99,52,79,47,56,4
86,14,90,28,87,0
78,88,2,26,14,4
59,56,7,3,23,0
18,38,99,15,64,1
89,28,74,39,57,4
17,86,90,44,25,3
17,13,84,25,68,3
10,67,18,100,86,3
34,8,40,83,42,4
41,6,52,26,64,4
98,59,56,59,70,4
33,53,22,21,70,0
70,4,94,75,62,1
62,94,95,24,55,3
9,3,31,40,36,0
24,95,6,66,84,3
92,75,4,79,6,0
94,51,62,57,66,4
79,75,8,26,51,3
45,44,5,70,26,4
68,19,84,97,20,3
12,47,1,90,14,2
64,38,37,11,100,0
77,3,33,6,50,2
10,5,23,10,44,0
2,13,40,2,84,1
65,63,73,17,9,3
75,15,24,38,35,1
94,95,49,69,62,1
60,50,78,75,9,0
34,76,99,35,1,2
40,64,22,60,64,4
93,72,11,14,60,0
30,35,85,37,5,4
83,78,26,62,4,1
89,42,89,18,40,4
72,39,14,32,51,2
38,97,23,63,15,0
97,25,17,97,66,2
78,53,51,39,51,2
70,6,67,7,51,0
72,42,64,15,29,2
33,94,27,36,29,3
38,57,97,27,55,3
33,68,86,66,10,3
5,74,97,38,13,4
31,47,100,88,52,2
56,15,29,8,5,0
29,47,68,76,45,0
2,27,95,36,36,4
26,43,27,69,20,0
11,74,38,6,72,3
23,47,90,46,12,2
90,13,62,82,89,0
97,60,43,76,100,0
68,5,37,72,92,1
31,9,51,29,78,1
40,41,86,11,23,1
1,46,21,90,36,2
54,87,57,1,63,3
54,55,40,15,21,3
47,73,53,9,74,3
52,57,26,41,35,2
63,25,90,75,38,2
2,7,82,91,34,1
91,17,43,59,51,0
54,24,25,71,52,4
70,88,33,49,29,4
63,22,26,28,85,0
49,71,81,84,49,1
20,86,92,63,61,0
49,71,1,96,13,0
94,87,51,56,83,4
62,32,30,29,49,1
45,93,30,16,40,2
19,18,1,78,47,4
66,92,94,38,51,2
63,4,1,8,29,1
55,3,32,10,74,0
83,34,97,87,55,3
92,32,50,7,93,3
8,65,57,67,88,1
87,59,72,54,67,3
51,97,92,8,34,2
35,96,88,78,32,3
46,16,68,37,54,1
85,14,95,55,48,1
82,7,74,7,33,2
23,85,19,19,36,3
29,60,82,2,1,3
47,69,20,11,2,0
67,87,12,20,5,4
37,38,94,9,98,1
53,44,99,86,24,0
81,74,30,59,87,1
96,81,81,14,9,0
40,66,25,73,22,4
4,26,58,29,98,0
87,37,75,70,18,1
85,42,100,41,38,3
34,17,37,25,76,1
87,86,85,27,57,2
31,6,91,40,98,2
12,53,71,10,45,2
17,26,85,92,62,2
46,64,2,54,65,4
51,53,36,26,29,3
21,11,40,11,36,3
59,39,99,54,98,1
55,24,22,69,56,0
33,36,20,83,99,1
81,62,98,73,26,1
66,73,73,40,17,1
1,89,61,43,42,1
25,39,35,3,44,3
51,94,98,12,19,0
44,59,49,61,17,1
74,57,55,47,12,3
62,80,88,83,8,1
95,21,81,87,80,2
70,72,25,82,89,1
12,15,59,26,26,1
47,32,10,16,71,4
17,23,26,85,86,2
7,14,79,7,9,0
48,72,59,87,93,1
82,95,94,39,99,0
18,59,17,14,31,2
24,99,60,45,98,1
3,37,43,40,90,4
55,87,39,15,4,3
93,86,25,13,82,4
33,16,42,66,55,4
99,42,34,30,13,3
13,18,32,96,99,3
39,46,29,62,93,3
62,57,16,56,10,1
30,25,84,5,65,0
94,49,3,45,14,0
30,68,18,62,37,3
25,48,65,53,79,4
73,15,49,88,68,2
12,59,37,61,43,3
70,39,56,63,46,4
88,11,62,77,98,4
25,71,52,4,59,1
72,20,93,63,54,1
74,98,57,90,41,0
3,6,5,5,54,0
47,87,49,9,99,2
20,61,35,50,82,2
62,17,88,3,32,2
99,13,89,73,68,2
14,98,11,56,67,4
92,29,9,67,25,4
98,76,42,9,79,0
40,25,5,11,59,1
98,88,79,38,72,1
5,48,90,18,70,3
37,60,48,77,28,4
69,77,81,40,45,2
96,62,93,58,67,2
56,40,98,40,91,3
77,33,6,88,19,1
80,40,92,97,59,2
59,48,41,13,45,1
89,53,42,100,63,3
27,38,60,7,5,1
45,58,31,23,42,1
10,32,53,30,39,1
31,82,100,2,78,2
77,93,12,39,66,0
96,13,46,27,17,4
95,98,60,64,88,1
35,70,83,30,71,1
74,96,98,63,28,1
60,79,94,37,93,0
22,68,20,96,100,3
68,91,64,17,12,2
22,17,10,65,22,0
90,82,50,14,64,1
47,29,76,36,99,0
52,76,7,29,11,0
33,6,79,32,51,0
75,58,87,26,98,3
46,98,29,4,81,4
